"brand_id","opening_date","NumberOfFranchises","NumberOfEmployees","Scheduled_To_Open","Scheduled_To_Close","Contract_Termination","Transfer","AverageSales","Average_Sales_per_Area"
"1","2001-08-17","2651","407","302","0","50","213","216931","8415"
"2","2008-09-30","1097","2235","127","0","31","111","544844","12061"
"3","2016-03-09","798","0","398","0","3","55","275854","20270"
"4","2011-03-30","688","52","155","0","56","55","109998","7827"
"5","2009-09-07","617","253","54","0","8","62","325010","16605"
"6","2011-06-30","597","82","147","62","27","13","99883","4803"
"7","2007-02-23","483","8372","19","88","2","33","280561","16067"
"8","2009-06-05","460","7106","51","0","32","45","392607","6482"
"9","2014-08-11","384","20","175","5","0","26","260853","19205"
"10","2014-03-21","383","56","117","14","2","36","208802","16605"
"11","2004-12-18","301","342","54","33","0","26","325424","6146"
"12","2012-11-20","238","48","62","6","32","13","115175","6404"
"13","2005-10-01","225","30","22","0","35","25","92216","4627"
"14","2015-08-01","224","29","55","0","16","21","176151","11992"
"15","2015-01-16","224","19","54","0","13","17","196274","17320"
"16","2002-07-15","172","9455","21","0","22","2","140700","10060"
"17","2018-01-02","162","2","60","0","19","0","137315","10529"
"18","2016-04-22","145","31","0","0","14","24","54624","469"
"19","2012-05-07","138","189","14","1","14","5","207629","4370"
"20","2008-08-12","125","12","48","0","0","4","403777","30988"
"21","2016-09-10","117","23","34","0","25","2","188011","24817"
"22","2005-04-01","114","17","1","17","0","11","154308","5820"
"23","2016-12-01","83","68","47","0","7","5","252464","25481"
"24","2012-05-29","81","7","17","0","27","6","61010","3873"
"25","2013-07-26","70","68","3","0","24","10","259676","18177"
"26","2011-10-15","49","5","2","0","3","1","107182","3408"
"27","1997-02-01","19","31","0","3","5","0","105789","4654"
"28","2015-08-28","8","5","1","0","0","1","101291","6023"
"29","2012-08-29","8","9455","2","0","0","0","197649","7110"
"30","2006-09-29","4","31","0","1","0","0","144411","185"
