"company_id","yr","capital","debt","dept_ratio","equity_capital_ratio","violation_of_the_law"
"1","2018","578048000","547465000","1","1","0"
"1","2019","4002633","20470151","5","0","0"
"1","2020","254796000","562611000","2","0","0"
"2","2018","175868405","592969055","3","0","0"
"2","2019",NULL,NULL,NULL,NULL,NULL
"2","2020","86821128","189350522","2","0","0"
"3","2018","50092874","55249233","1","0","0"
"3","2019","56264314","33465620","1","1","0"
"3","2020","69955817","54905089","1","1","0"
"4","2018","49659143","35339190","1","1","0"
"4","2019","197121","1486418","8","0","0"
"4","2020","36602807","76070377","2","0","0"
"5","2018","23491441","46493234","2","0","0"
"5","2019","746239","2957353","4","0","0"
"5","2020","64298814","44715637","1","1","0"
"6","2018","4733458","10251334","2","0","0"
"6","2019","777585","1038422","1","0","0"
"6","2020","3593783","7860715","2","0","0"
"7","2018","3669342","1125647","0","1","0"
"7","2019","2224869","10414057","5","0","0"
"7","2020","18171588","6152297","0","1","0"
"8","2018","3355601","2641636","1","1","0"
"8","2019","1582901","2720315","2","0","0"
"8","2020","3940705","6407467","2","0","0"
"9","2018","3148129","2400584","1","1","0"
"9","2019","1380098","989032","1","1","0"
"9","2020","4188573","5436793","1","0","0"
"10","2018","3102003","3714337","1","0","0"
"10","2019","2266194","1407147","1","1","0"
"10","2020","1655954","3224591","2","0","0"
"11","2018","1579223","5446475","3","0","0"
"11","2019","7252736","2663590","0","1","0"
"11","2020","4322537","5882172","1","0","0"
"12","2018","1495035","3621735","2","0","0"
"12","2019","57150318","51605822","1","1","0"
"12","2020","1377443","2987687","2","0","0"
"13","2018","1367038","889859","1","1","0"
"13","2019",NULL,NULL,NULL,NULL,NULL
"13","2020","2152528","3429685","2","0","0"
"14","2018","1266510","1498670","1","0","0"
"14","2019","3050411","6860138","2","0","1"
"14","2020","505394","829966","2","0","1"
"15","2018","1253067","938855","1","1","0"
"15","2019","3327347","7848734","2","0","0"
"15","2020","2160496","2169818","1","0","0"
"16","2018","780067","2495438","3","0","0"
"16","2019","735476027","745981138","1","0","0"
"16","2020","852886","5393305","6","0","0"
"17","2018","588941","2493414","4","0","0"
"17","2019","482500000","247551000","1","1","0"
"17","2020","-2178837","28151020",NULL,NULL,"0"
"18","2018","511353","913225","2","0","0"
"18","2019","41600066","79389585","2","0","0"
"18","2020","697071","787048","1","0","0"
"19","2018","380916","1207765","3","0","0"
"19","2019","83302119","93115706","1","0","0"
"19","2020","97789","1120824","11","0","0"
"20","2018","354255","472097","1","0","0"
"20","2019","2185030","4333996","2","0","0"
"20","2020","414816","1790537","4","0","0"
"21","2018","70284","69242","1","1","0"
"21","2019","567388","544196","1","1","0"
"21","2020","448012","454797","1","0","0"
"22","2018","682859078","626083995","1","1","0"
"22","2019","2108110","2598910","1","0","0"
"22","2020","738060841","872091172","1","0","0"
"23","2018",NULL,NULL,NULL,NULL,NULL
"23","2019",NULL,NULL,NULL,NULL,NULL
"23","2020","1390270","1208460","1","1","0"
"24","2018",NULL,NULL,NULL,NULL,NULL
"24","2019","533987","331937","1","1","0"
"24","2020","4252361","3097601","1","1","0"
"25","2018",NULL,NULL,NULL,NULL,NULL
"25","2019","2044109","4012963","2","0","1"
"25","2020","107194667","90271671","1","1","0"
"26","2018",NULL,NULL,NULL,NULL,NULL
"26","2019","492517","821488","2","0","0"
"26","2020","1754738","4383454","2","0","0"
